,FB,FB,FB,FB,FB,SNAP,SNAP,SNAP,SNAP,SNAP,TWTR,TWTR,TWTR,TWTR,TWTR,PINS,PINS,PINS,PINS,PINS
,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v
t,,,,,,,,,,,,,,,,,,,,
1595203200,245.41999816895,246.05000305176,235.63000488281,240.05999755859,20872224,25.270000457764,25.309999465942,24.459999084473,24.829999923706,20237596,37.060001373291,37.169998168945,35.799999237061,35.799999237061,16866964,26.079999923706,26.129999160767,24.89999961853,24.930000305176,8068378
1595289600,241.75,246.91000366211,240.08000183105,246.2200012207,19409688,24.739999771118,25.729999542236,24.60000038147,25.540000915527,51942048,37.009998321533,38.5,37.0,37.790000915527,18776930,25.719999313354,26.5,25.479999542236,26.489999771118,10488382
1595376000,239.86999511719,241.89999389648,238.11999511719,240.25999450684,15427885,23.200000762939,23.790000915527,22.459999084473,23.489999771118,83442304,36.939998626709,37.419998168945,36.25,36.970001220703,17944096,25.389999389648,25.659999847412,24.75,25.39999961853,11745345
1595462400,232.60000610352,242.41999816895,231.75,239.63000488281,21771802,21.969999313354,23.090000152588,21.799999237061,22.780000686646,47037100,38.439998626709,40.255001068115,37.5,37.650001525879,89631408,24.639999389648,25.409999847412,24.290000915527,25.319999694824,9939304
1595548800,230.71000671387,233.49000549316,226.89999389648,230.19000244141,18325812,22.14999961853,22.450000762939,21.530000686646,21.879999160767,22471800,37.540000915527,38.540000915527,37.139999389648,38.279998779297,23068344,24.540000915527,24.690000534058,23.559999465942,24.219999313354,9096179
1595808000,233.5,234.94999694824,230.83000183105,231.46000671387,13163083,22.840000152588,22.85000038147,22.204399108887,22.340000152588,21381400,36.849998474121,37.590000152588,36.090000152588,37.579898834229,22728120,24.270000457764,24.579999923706,23.840000152588,24.549999237061,6881139
1595894400,230.11999511719,234.96000671387,229.83000183105,234.63000488281,14170112,22.590000152588,22.989999771118,22.415000915527,22.659999847412,15011400,36.610000610352,37.319999694824,36.450000762939,36.450000762939,13566849,24.0,24.450000762939,23.889999389648,24.190000534058,5295863
1595980800,233.28999328613,233.69999694824,230.30999755859,231.13999938965,13588317,22.89999961853,23.004999160767,22.620000839233,22.85000038147,13132395,37.159999847412,37.25,36.729999542236,36.970001220703,10675567,24.950000762939,25.159999847412,24.239999771118,24.329999923706,9551513
1596067200,234.5,234.88999938965,229.0,230.2200012207,20615306,22.409999847412,22.89999961853,22.35000038147,22.700000762939,17466516,36.720001220703,37.104999542236,36.380001068115,36.729999542236,9907475,25.190000534058,25.35000038147,24.420000076294,24.579999923706,16260322
1596153600,253.66999816895,255.85000610352,249.0,255.82000732422,53030036,22.420000076294,23.959999084473,22.049999237061,22.829999923706,51528936,36.400001525879,37.330001831055,35.970001220703,37.330001831055,18551548,34.290000915527,34.299999237061,31.10000038147,33.150001525879,111863720
